Date,Open,High,Low,Close,Volume
10/24/2022,"173.50","176.67","173.05","176.62","799,816"
10/21/2022,"170.59","172.78","169.50","171.34","826,301"
10/20/2022,"172.39","173.86","169.40","170.28","551,752"
10/19/2022,"171.81","174.18","170.18","171.25","908,709"
10/18/2022,"173.23","175.56","172.40","174.73","691,146"
10/17/2022,"170.70","172.15","169.11","169.86","979,994"
10/14/2022,"172.48","173.32","168.20","168.57","552,243"
10/13/2022,"166.84","173.22","165.98","171.58","681,993"
10/12/2022,"169.28","170.79","167.52","169.32","662,925"
10/11/2022,"166.41","171.43","165.99","168.86","966,463"
10/10/2022,"162.02","166.86","160.84","166.25","719,832"
10/07/2022,"163.97","164.03","160.10","161.32","582,783"
10/06/2022,"167.80","168.61","164.77","165.14","671,076"
10/05/2022,"166.27","169.60","164.96","167.64","690,313"
10/04/2022,"165.55","168.13","165.32","167.83","721,546"
10/03/2022,"157.25","163.98","157.22","163.37","862,427"
09/30/2022,"159.00","159.20","154.46","156.34","574,524"
09/29/2022,"160.86","161.54","158.73","159.66","404,527"
09/28/2022,"161.08","164.44","159.49","163.32","673,327"
09/27/2022,"159.19","162.17","157.83","159.31","750,593"
09/26/2022,"160.89","161.80","157.16","157.68","899,165"
09/23/2022,"162.45","163.49","157.79","160.50","1,002,305"
09/22/2022,"164.78","165.17","162.92","164.11","865,024"
09/21/2022,"167.78","169.43","165.44","165.50","606,111"
09/20/2022,"166.24","167.10","164.24","165.87","708,503"
09/19/2022,"167.44","169.68","165.01","168.18","992,956"
09/16/2022,"166.80","169.56","165.78","166.80","1,566,534"
09/15/2022,"169.30","170.58","166.62","167.62","1,053,519"
09/14/2022,"173.51","174.05","168.08","170.04","988,454"
09/13/2022,"177.59","179.20","172.62","172.83","1,005,733"
09/12/2022,"182.00","183.63","180.54","181.49","662,690"
09/09/2022,"180.30","181.96","179.85","180.65","520,874"
09/08/2022,"177.67","180.59","177.00","180.29","697,375"
09/07/2022,"173.91","178.73","173.61","178.30","622,888"
09/06/2022,"172.29","174.78","170.69","173.34","866,438"
09/02/2022,"174.03","175.08","170.73","171.73","579,194"
09/01/2022,"168.00","172.54","167.57","172.15","919,617"
08/31/2022,"170.23","171.74","168.26","168.64","913,653"
08/30/2022,"171.00","171.45","168.04","170.47","893,008"
08/29/2022,"171.69","173.10","169.25","170.54","1,006,405"
08/26/2022,"181.27","181.42","173.57","173.59","867,226"
08/25/2022,"179.85","181.34","177.59","180.99","1,007,085"
08/24/2022,"182.79","185.00","176.75","179.91","3,623,644"
08/23/2022,"199.53","200.49","197.75","199.05","1,022,759"
08/22/2022,"204.99","204.99","198.22","198.48","791,987"
08/19/2022,"206.06","207.18","205.14","207.02","585,347"
08/18/2022,"209.78","210.23","205.77","207.49","527,996"
08/17/2022,"207.94","211.86","206.67","209.98","506,560"
08/16/2022,"205.59","212.25","205.59","209.60","774,043"
08/15/2022,"201.93","205.43","201.03","205.33","531,988"
08/12/2022,"197.54","202.58","197.18","202.53","530,357"
08/11/2022,"196.79","197.97","196.06","197.42","374,749"
08/10/2022,"196.25","196.40","193.40","194.69","555,088"
08/09/2022,"194.31","194.72","191.69","191.77","400,018"
08/08/2022,"194.64","197.00","193.88","194.29","492,583"
08/05/2022,"190.00","193.54","189.82","193.42","367,683"
08/04/2022,"194.80","195.90","191.51","191.56","531,398"
08/03/2022,"196.36","197.26","192.83","195.27","495,446"
08/02/2022,"195.73","196.25","193.56","195.02","466,222"
08/01/2022,"192.30","196.71","192.01","195.99","545,106"
07/29/2022,"191.27","194.20","189.28","193.62","519,486"
07/28/2022,"185.33","191.44","182.57","191.03","774,939"
07/27/2022,"183.41","186.02","179.15","185.91","877,095"
07/26/2022,"186.00","186.39","182.50","182.87","727,577"
07/25/2022,"191.85","192.06","188.79","189.63","408,510"
07/22/2022,"191.83","193.03","190.60","191.23","543,464"
07/21/2022,"191.58","192.00","187.24","189.83","791,465"
07/20/2022,"191.57","192.83","188.29","192.66","520,177"
07/19/2022,"188.30","190.92","186.38","190.65","646,054"
07/18/2022,"190.00","191.01","184.89","185.27","904,612"
07/15/2022,"188.19","190.00","186.27","188.71","668,524"
07/14/2022,"182.41","186.37","182.00","186.01","657,316"
07/13/2022,"181.99","186.45","180.90","185.34","665,296"
07/12/2022,"181.76","186.40","181.76","183.84","790,401"
07/11/2022,"182.90","183.62","180.62","181.75","605,585"
07/08/2022,"184.24","185.59","182.31","182.90","395,161"
07/07/2022,"182.54","184.69","180.85","183.99","543,906"
07/06/2022,"182.45","183.75","179.02","181.77","736,023"
07/05/2022,"172.35","182.43","172.09","182.31","1,107,295"
07/01/2022,"173.40","177.66","172.13","173.64","784,440"
06/30/2022,"175.00","175.77","171.91","173.09","1,000,032"
06/29/2022,"179.70","180.10","175.67","176.72","992,626"
06/28/2022,"184.72","186.23","177.93","178.75","672,963"
06/27/2022,"184.18","186.00","182.13","183.63","529,018"
06/24/2022,"179.19","183.78","178.65","183.10","1,014,870"
06/23/2022,"176.34","179.04","175.13","178.63","644,060"
06/22/2022,"170.75","175.61","170.12","174.66","887,695"
06/21/2022,"169.75","173.02","167.94","171.73","753,536"
06/17/2022,"165.21","169.58","164.00","167.81","1,218,081"
06/16/2022,"167.92","168.41","164.24","165.45","774,201"
06/15/2022,"172.12","173.64","169.00","172.29","859,151"
06/14/2022,"172.13","173.72","169.59","171.48","908,379"
06/13/2022,"174.00","175.83","171.33","172.19","1,247,747"
06/10/2022,"181.57","183.31","178.81","179.43","632,240"
06/09/2022,"184.86","187.94","184.17","184.66","632,793"
06/08/2022,"185.25","188.93","184.20","185.12","565,064"
06/07/2022,"187.96","189.38","185.46","186.84","1,070,436"
06/06/2022,"191.71","191.88","188.79","190.74","433,176"
06/03/2022,"189.77","191.33","188.97","190.73","462,858"
06/02/2022,"188.45","191.25","185.90","191.09","729,345"
06/01/2022,"191.62","192.04","187.29","187.66","728,569"
05/31/2022,"191.23","191.80","188.25","189.86","987,482"
05/27/2022,"190.74","194.83","190.66","193.05","685,662"
05/26/2022,"186.45","191.55","184.98","190.90","1,286,490"
05/25/2022,"177.61","187.26","177.23","185.31","1,493,125"
05/24/2022,"175.31","182.73","172.86","180.23","2,128,629"
05/23/2022,"182.07","184.71","176.78","183.24","1,585,477"
05/20/2022,"197.55","197.55","176.72","181.89","1,919,554"
05/19/2022,"194.60","199.89","191.67","196.07","683,678"
05/18/2022,"212.86","212.86","192.42","195.50","1,398,002"
05/17/2022,"215.46","217.35","211.82","216.26","705,437"
05/16/2022,"210.57","215.75","208.59","213.69","541,150"
05/13/2022,"208.89","215.73","208.80","211.21","593,136"
05/12/2022,"201.07","209.55","200.53","208.90","1,051,759"
05/11/2022,"202.45","205.30","199.69","201.07","518,672"
05/10/2022,"204.79","205.27","199.40","202.90","741,750"
05/09/2022,"200.63","205.43","198.19","202.64","493,513"
05/06/2022,"200.25","203.86","196.68","202.86","794,664"
05/05/2022,"206.84","207.49","198.62","201.33","754,947"
05/04/2022,"200.95","207.96","198.00","207.63","912,575"
05/03/2022,"200.68","201.83","196.36","199.92","853,995"
05/02/2022,"200.49","202.86","197.11","200.49","733,477"
04/29/2022,"208.57","209.80","198.82","199.63","894,843"
04/28/2022,"218.49","218.49","204.08","209.39","2,010,994"
04/27/2022,"224.46","227.74","223.28","224.88","1,127,281"
04/26/2022,"222.37","226.43","221.19","223.44","840,629"
04/25/2022,"217.73","224.31","216.63","223.87","803,220"
04/22/2022,"224.47","224.47","218.15","218.39","498,254"
04/21/2022,"230.55","231.43","225.25","225.56","412,232"
04/20/2022,"224.96","229.72","224.40","228.02","586,622"
04/19/2022,"218.84","223.60","218.84","222.90","561,903"
04/18/2022,"217.38","221.44","217.38","218.25","603,928"
04/14/2022,"221.00","222.96","218.38","218.68","513,024"
04/13/2022,"221.72","223.08","219.48","220.58","758,054"
04/12/2022,"222.16","224.86","220.19","221.88","769,799"
04/11/2022,"225.74","228.34","220.48","220.97","633,633"
04/08/2022,"217.53","227.54","216.21","225.74","1,088,580"
04/07/2022,"211.61","218.78","210.88","217.58","729,538"
04/06/2022,"210.01","213.58","209.01","212.83","626,517"
04/05/2022,"210.92","212.83","208.74","211.73","569,959"
04/04/2022,"207.53","212.30","205.94","211.92","689,054"
04/01/2022,"207.76","209.28","206.24","207.48","693,447"
03/31/2022,"211.22","211.22","206.91","206.96","727,798"
03/30/2022,"214.17","214.17","211.66","211.82","716,778"
03/29/2022,"212.58","216.39","212.13","215.45","587,320"
03/28/2022,"215.92","215.92","210.07","210.49","706,110"
03/25/2022,"216.13","216.27","211.72","215.58","802,930"
03/24/2022,"213.72","215.68","212.32","214.67","816,960"
03/23/2022,"208.85","214.29","207.17","213.34","962,123"
03/22/2022,"207.79","211.58","204.92","209.40","1,203,700"
03/21/2022,"206.40","207.26","203.27","205.75","888,462"
03/18/2022,"206.04","207.69","200.73","206.34","1,746,310"
03/17/2022,"204.58","208.31","203.02","208.18","765,154"
03/16/2022,"205.37","208.90","203.07","207.52","1,235,792"
03/15/2022,"201.24","204.95","199.51","204.27","814,798"
03/14/2022,"202.71","204.00","197.28","199.17","1,229,028"
03/11/2022,"205.58","207.50","203.86","204.08","527,517"
03/10/2022,"202.02","205.39","201.00","204.92","613,411"
03/09/2022,"205.49","207.11","202.43","204.88","776,772"
03/08/2022,"202.98","205.20","198.26","200.58","963,175"
03/07/2022,"206.38","207.06","200.49","201.31","1,289,507"
03/04/2022,"205.67","208.10","202.48","206.62","759,952"
03/03/2022,"209.75","210.57","205.66","208.27","1,063,607"
03/02/2022,"203.35","210.75","201.35","209.07","1,090,944"
03/01/2022,"204.23","209.65","198.45","201.17","1,051,125"
02/28/2022,"202.00","204.82","200.03","204.48","1,040,468"
02/25/2022,"201.90","206.17","200.01","205.57","693,472"
02/24/2022,"192.13","202.04","190.79","200.81","1,265,805"
02/23/2022,"207.80","208.10","195.75","196.80","1,494,003"
02/22/2022,"217.90","217.95","204.97","206.76","1,313,312"
02/18/2022,"219.84","221.50","217.08","218.80","933,556"
02/17/2022,"222.37","223.01","219.69","220.41","983,930"
02/16/2022,"221.27","225.78","218.88","222.39","1,182,695"
02/15/2022,"216.38","225.25","214.40","222.60","2,268,036"
02/14/2022,"222.99","225.84","220.08","224.28","1,495,052"
02/11/2022,"224.58","226.88","221.09","222.94","1,001,497"
02/10/2022,"223.12","229.32","221.36","222.73","1,905,138"
02/09/2022,"231.92","234.23","230.42","232.18","523,538"
02/08/2022,"226.70","231.57","226.06","230.20","564,122"
02/07/2022,"228.44","228.97","223.93","225.94","709,934"
02/04/2022,"231.53","231.63","223.34","226.99","689,101"
02/03/2022,"235.99","235.99","232.17","232.49","521,542"
02/02/2022,"235.45","237.39","232.41","236.68","647,258"
02/01/2022,"231.11","235.35","229.21","234.80","487,558"
01/31/2022,"226.73","231.92","226.00","231.51","795,967"
01/28/2022,"223.77","228.35","222.31","228.22","533,732"
01/27/2022,"227.66","229.68","224.94","225.11","558,511"
01/26/2022,"232.19","232.30","223.79","225.12","645,303"
01/25/2022,"229.68","232.50","226.24","230.18","520,379"
01/24/2022,"221.48","233.24","221.48","232.81","767,469"
01/21/2022,"229.30","230.55","224.94","226.15","660,528"
01/20/2022,"236.27","237.53","228.57","229.33","525,012"
01/19/2022,"239.78","242.96","234.10","234.34","607,336"
01/18/2022,"238.17","239.42","234.37","237.91","1,077,272"
01/14/2022,"238.98","241.92","237.52","239.60","391,032"
01/13/2022,"241.16","244.20","240.32","241.32","642,672"
01/12/2022,"233.56","238.04","233.26","237.53","517,339"
01/11/2022,"234.64","234.81","230.57","232.01","638,807"
01/10/2022,"237.00","237.00","231.26","234.13","591,139"
01/07/2022,"239.96","242.15","237.32","238.09","553,611"
01/06/2022,"237.85","242.36","236.56","241.65","602,533"
01/05/2022,"237.45","244.55","236.35","236.45","711,790"
01/04/2022,"236.79","240.02","236.52","237.05","736,902"
01/03/2022,"240.64","242.15","234.87","236.78","899,833"
12/31/2021,"237.00","240.97","235.22","239.88","676,062"
12/30/2021,"241.14","241.99","237.47","237.52","569,530"
12/29/2021,"238.94","242.20","238.37","241.03","510,397"
12/28/2021,"236.03","238.99","234.90","238.13","601,197"
12/27/2021,"233.37","236.74","232.21","236.50","347,578"
12/23/2021,"234.00","234.41","232.00","232.13","492,798"
12/22/2021,"229.90","233.10","228.95","232.79","270,092"
12/21/2021,"229.89","231.20","227.78","229.57","498,324"
12/20/2021,"230.28","230.28","224.22","228.39","643,118"
12/17/2021,"237.92","237.92","231.76","232.82","1,546,590"
12/16/2021,"239.73","242.29","236.64","239.16","820,147"
12/15/2021,"235.39","239.65","234.56","239.14","535,835"
12/14/2021,"234.17","236.31","233.15","235.39","791,834"
12/13/2021,"239.75","240.00","232.98","234.12","913,440"
12/10/2021,"235.42","240.24","234.84","240.04","716,959"
12/09/2021,"234.43","236.49","232.75","234.62","551,185"
12/08/2021,"234.68","235.59","229.99","234.03","665,562"
12/07/2021,"231.88","236.75","231.19","234.95","762,014"
12/06/2021,"229.99","233.34","229.00","230.02","657,938"
12/03/2021,"229.17","231.69","225.32","226.86","543,794"
12/02/2021,"220.27","230.00","219.12","228.76","838,334"
12/01/2021,"223.64","226.98","218.22","218.23","649,603"
11/30/2021,"225.60","228.17","220.00","220.72","918,054"
11/29/2021,"228.36","230.19","226.37","227.27","376,856"
11/26/2021,"229.42","229.57","225.07","226.73","334,116"
11/24/2021,"233.60","234.56","232.16","233.37","360,961"
11/23/2021,"232.51","235.99","230.31","235.77","405,495"
11/22/2021,"231.21","233.89","229.65","231.83","544,939"
11/19/2021,"231.67","231.88","228.27","230.00","574,362"
11/18/2021,"232.55","233.17","229.00","231.92","663,693"
11/17/2021,"237.30","239.72","231.39","232.55","771,262"
11/16/2021,"238.78","239.91","230.27","235.69","1,585,223"
11/15/2021,"240.02","243.05","239.50","241.91","1,085,420"
11/12/2021,"239.39","240.09","237.20","239.04","775,980"
11/11/2021,"234.33","240.96","234.33","238.45","771,465"
11/10/2021,"233.33","236.05","232.47","234.77","457,707"
11/09/2021,"228.01","233.59","228.01","232.39","587,843"
11/08/2021,"229.55","230.30","224.56","227.91","486,784"
11/05/2021,"231.22","232.12","228.09","229.73","491,805"
11/04/2021,"231.01","232.70","228.81","230.09","543,060"
11/03/2021,"226.72","232.00","226.72","230.96","635,258"
11/02/2021,"225.09","228.56","224.50","226.77","397,383"
11/01/2021,"226.29","228.01","223.46","225.11","733,811"
10/29/2021,"224.92","228.34","223.76","225.52","586,700"
10/28/2021,"230.28","231.82","220.93","225.00","1,090,482"
10/27/2021,"232.63","233.80","230.34","230.35","485,810"
10/26/2021,"231.16","233.53","229.17","232.56","397,231"
10/25/2021,"232.31","233.36","228.63","230.13","589,418"
