Date,Open,High,Low,Close
10/24/2022,"19,498","19,674","19,168","19,374"
10/23/2022,"19,218","19,517","19,081","19,498"
10/22/2022,"19,179","19,252","19,118","19,220"
10/21/2022,"19,027","19,227","18,734","19,179"
10/20/2022,"19,196","19,302","18,937","19,022"
10/19/2022,"19,365","19,375","19,113","19,196"
10/18/2022,"19,527","19,683","19,113","19,373"
10/17/2022,"19,349","19,631","19,128","19,527"
10/16/2022,"19,103","19,395","19,010","19,352"
10/15/2022,"19,186","19,219","19,052","19,103"
10/14/2022,"19,382","19,916","19,139","19,187"
10/13/2022,"19,163","19,501","18,271","19,382"
10/12/2022,"19,026","19,188","18,999","19,148"
10/11/2022,"19,243","19,270","18,888","19,026"
10/10/2022,"19,477","19,518","19,137","19,243"
10/09/2022,"19,461","19,558","19,278","19,477"
10/08/2022,"19,549","19,643","19,424","19,461"
10/07/2022,"20,055","20,055","19,351","19,549"
10/06/2022,"20,022","20,438","19,890","20,049"
10/05/2022,"20,350","20,402","19,779","20,022"
10/04/2022,"19,590","20,420","19,511","20,350"
10/03/2022,"19,227","19,630","18,945","19,590"
10/02/2022,"19,250","19,391","19,062","19,231"
10/01/2022,"19,425","19,476","19,218","19,250"
09/30/2022,"19,483","20,131","19,198","19,420"
09/29/2022,"19,574","19,726","18,825","19,483"
09/28/2022,"19,055","19,623","18,506","19,565"
09/27/2022,"19,121","20,366","18,854","19,055"
09/26/2022,"18,888","19,288","18,662","19,135"
09/25/2022,"19,138","19,142","18,817","18,888"
09/24/2022,"18,852","19,386","18,813","19,138"
