Date,Open,High,Low,Close,Volume
12/03/2021,"45.25","45.98","39.76","43.10","16,386,752"
12/02/2021,"46.25","46.86","43.27","45.39","8,348,400"
12/01/2021,"49.85","50.03","44.25","44.96","9,422,140"
11/30/2021,"50.03","50.99","47.00","49.05","6,895,796"
11/29/2021,"51.00","51.98","50.24","50.50","4,435,376"
11/26/2021,"52.02","52.93","49.80","49.93","4,941,108"
11/24/2021,"54.31","56.00","52.00","52.95","5,237,552"
11/23/2021,"60.96","63.05","53.14","53.48","13,406,544"
11/22/2021,"57.62","62.41","57.44","61.89","17,518,416"
11/19/2021,"52.29","57.35","52.06","57.20","12,174,880"
11/18/2021,"52.56","53.78","51.88","52.53","4,023,100"
11/17/2021,"51.58","54.43","51.50","52.50","5,410,856"
11/16/2021,"52.26","53.14","50.91","51.80","4,858,384"
11/15/2021,"50.97","52.88","50.42","52.29","5,865,696"
11/12/2021,"50.54","51.34","49.47","50.53","3,711,964"
11/11/2021,"50.00","52.02","49.54","51.08","4,317,604"
11/10/2021,"50.53","51.85","49.13","49.80","5,237,556"
11/09/2021,"55.50","55.87","51.11","51.65","7,381,192"
11/08/2021,"53.13","56.26","53.00","54.66","8,631,648"
11/05/2021,"55.16","55.25","52.25","53.31","7,242,868"
11/04/2021,"55.50","57.24","52.89","54.46","11,631,904"
11/03/2021,"53.50","63.92","52.06","54.58","45,062,360"
11/02/2021,"49.84","52.98","47.92","51.75","15,529,344"
11/01/2021,"45.63","52.14","45.51","50.02","19,776,812"
10/29/2021,"45.70","46.44","44.50","45.88","9,175,880"
10/28/2021,"43.79","45.79","43.75","45.71","6,784,824"
10/27/2021,"45.00","45.77","43.08","43.38","4,427,992"
10/26/2021,"43.34","46.25","43.13","44.46","8,706,996"
10/25/2021,"42.36","43.70","41.82","43.49","5,771,224"
10/22/2021,"44.53","44.87","41.95","42.45","11,201,772"
10/21/2021,"46.18","47.67","45.15","45.43","9,609,472"
10/20/2021,"46.58","47.00","45.50","46.13","9,107,612"
10/19/2021,"47.25","48.05","46.10","46.70","8,282,472"
10/18/2021,"45.74","47.47","45.64","46.51","6,358,592"
10/15/2021,"46.00","46.75","45.22","45.82","4,799,908"
10/14/2021,"45.94","47.55","45.65","45.96","6,704,032"
10/13/2021,"44.58","47.05","44.00","46.02","7,720,956"
10/12/2021,"45.13","45.45","43.45","43.96","4,934,608"
10/11/2021,"43.25","47.12","43.25","44.53","10,739,420"
10/08/2021,"43.13","43.93","42.78","43.17","3,272,828"
10/07/2021,"43.00","43.80","42.64","43.03","4,637,304"
